Hindi|English|Sanskrit
सीख - "अपने ही जब पीठ में खंजर घोंपते है तब वह क्षण बडा ही दुःखदायक होता है"।|Lesson - "When you stab a dagger in your own back, that moment is very painful."|शिक्षा - "यदा स्वजन: एव पृष्ठे छुरिकां गाहते तदा तत्क्षण: अतीव दुःखितो भवति।"
मैं कोई बेल नहीं जिसे ऊपर चढ़ने को सहारा चाहिए। मैं छोटा ही सही एक पौधा हूं, एक सदाबहार पौधा।
|I am not a vine that needs support to climb up. Although small, I am a plant, an evergreen plant.|अहं काचित् न लतास्मि यस्यै उपरि आरोहणार्थं समर्थनस्य आवश्यकता वर्तते। अहं लघ्वाकार: अवश्यम्,परन्तु एक: पादपोऽस्मि, एको नित्यहरित: पादप:।
जो सर्दी, गर्मी, बरसात, ऑंधी, तुफान सब झेलता हुआ अपनी उपस्थिति दर्ज कराता रहता है।|Which continues to register its presence despite bearing cold, heat, rain, storm and storm.|य: शिशिरम्, ग्रीष्मम्, वर्षणम्, प्रकम्पनम्, वर्षणयुक्तप्रकम्पनं इत्यादीन् सर्वान् ऋतून् सहमानः स्वस्य उपस्थितिं कुर्वन् एव तिष्ठति।
नहीं चाहिए मुझे जीने के लिए और के पोषक तत्त्व मैं खूद ही खूद के लिए पर्याप्त हूं।|I don't need any more nutrients to survive, I am sufficient for myself.|मम कृते जीवितुम् अन्येषां पोषकतत्त्वानाम् आवश्यकता नास्ति तथा च अहं स्वस्य कृते स्वयमेव पर्याप्तोऽस्मि।
बस कायम रखनी है मुझे अपनी जीने की इच्छा और झेल जाने हैं, हंसते हुए सारे झंझावत।|I just have to maintain my will to live and bear all the storms with a smile.|केवलं मया स्वस्य जिजीविषा अक्षुण्णा स्थापनीया अस्ति तथा च मया हसन् सर्वप्रकम्पन: सहनीय: अस्ति।
ऐसा विश्वास किया जाता है कि दिपावली में यदि कोई श्रद्धाभाव के साथ मां लक्ष्मी की पूजा करते है,तो उसके घर में दरिद्रता का कभी वास नहीं होता है।|It is believed that if someone worships Goddess Lakshmi with devotion during Diwali, poverty never resides in his house.|एवं विश्वस्यते यत् दिपोत्सवे यदि कश्चन श्रद्धापूर्वकं मातरं पद्मां इट्टे, तर्हि तस्य गृहे निर्धनत्वं कदापि न तिष्ठति।
जो व्यक्ति ज्ञान पाने के इच्छुक रहता है, पढ़ता है,लिखता है,देखता है, प्रश्न पूछता है,बुद्धिमानों का सहारा लेता है। उसकी बुद्धि उसी प्रकार बढ़ती है जैसे कि सूर्य की किरणों से कमल की पंखुड़ियां फैल जाती है।|A person who is desirous of gaining knowledge, reads, writes, watches, asks questions and takes the help of wise people. His intelligence expands in the same way as the petals of a lotus expand due to the rays of the sun.|यो जिज्ञासु भवति,पठति, लिखति, पश्यति, परिपृच्छति, पण्डितान् आश्रयति। तस्य बुद्धि: दिवाकरकिरणै: पद्मदलमिव विस्तारिता भवति।
जो दोनों पक्षों की एकादशियों को आंवले के रस का प्रयोग कर स्नान करते हैं, उनके पाप नष्ट हो जाते हैं।|Those who take bath using Amla juice on both the Ekadashi days, their sins are destroyed.|उभयो: पक्षयो: एकादश्यो: आमलरसं प्रयुज्य ये स्नानं कुर्वन्ति, तेषां सर्वपापानि उत्सीदन्ति।
शुद्ध सरसो का तेल खाने में स्वाद के साथ साथ आपकी स्वास्थ्य को भी बनाए रखता है।|Pure mustard oil not only adds taste to food but also maintains your health.|शुद्धं सर्षपतैलं खादने रसेन सह भवत: स्वास्थ्यमपि रक्षति।
पृथ्वी के सबसे वृद्ध हिन्दू संत श्री हनुमानदास जी, जो 170 वर्ष से भी अधिक उम्र के है, उन्होंने गौ सेवा में अपना पूरा जीवन समर्पित कर दिया है।|The oldest Hindu saint on earth, Shri Hanuman Das Ji, who is more than 170 years old, has dedicated his entire life to cow service.|रसाया: वृद्धतम: सनातन: साधो: वय: सप्ततिरधिकशतात्दधिकं अस्ति स च गौसेवायै स्वपूर्णजीवनं समर्पितवान्।
बच्चे के कान उमेठने के लिए नहीं बना है।|The baby's ears are not meant to be turned up.|बालकानां कर्ण: आकुञ्चनाय न भवति।
गलती होने पर भी बच्चे को सीने से लगा कर प्यार से समझा कर देखिये तो सही।|Even if a mistake is made, hold the child close to your chest and explain it to him lovingly.|दोषे सत्यपि बालं वक्षसा सम्यग् आश्लिष्य प्रीतिपूर्वकं तं प्रबोध्य विचारयतु।
वह अपने उसी कान से आपके दिल की धड़कन सुन कर सब समझ जाएगा जिस
कान को आप उमेठने को बेताब रहते हैं।|He will understand everything by listening to your heartbeat with the same ear which you are desperate to turn your ears.|सः स्वकीयेन तेनैव कर्णेन भवत: हृदयस्पन्दनं श्रुत्वा सर्वम् अवगमिष्यति, यस्य कर्णस्य आकुञ्चनाय भवान् व्यग्रो भवति।
मटका फोड़े|Break the pot|घटं भिन्द्यात्
कपड़े फाड़े (या)|tear the clothes or|पटं छिन्द्यात् (वा)
गधे की सवारी करे|ride (mount) a donkey|रासभस्य आरोहणं कुर्यात्
चाहे जैसे भी हो बस व्यक्ति प्रसिद्ध हो जाये।|by hook or by crook, person may (should) become famous|येन केन प्रकारेण पुरुषः प्रसिद्धः भवेत्।
सभी सदस्यों को संस्कृत संवादः के ३००० सदस्य पूरे होने पर अनेकों शुभकामनाएँ।|Congratulations everyone for achievement of 3000 members in @samvadah.|सर्वेभ्यः सदस्येभ्यः संस्कृतसंवादस्य त्रयाणां सहस्राणां सदस्यानां सङ्गस्य नैकाः शुभकामनाः।
आशा करते हैं हमारी एकता और अधिक दृढ़ और विस्तृत हो।|May Our unity be more firm and extensive.|आशास्महे अस्माकम् ऐक्यं दृढतरं विस्तृततरं च भवेत्।
बुद्धिमान लोग अपना समय साहित्यिक कार्यों का आनंद लेने, धर्मग्रंथ पढ़ने में बिताते हैं जबकि मूर्ख बुरी आदतों, नींद या झगड़े में अपना समय व्यतीत करते हैं।|Wise men spend their time enjoying literary work, reading scriptures while the fools ( indulge) in bad habits, sleep or quarrel.|धीमतां कालः काव्य-शास्त्र-विनोदेन गच्छति। मूर्खाणां ( कालः) व्यसनेन, निद्रया वा कलहेन (गच्छति)।
जो मूढ बुद्धि पुरुष कर्मेन्द्रियों का निग्रह कर इन्द्रियों के भोगों का मन से स्मरण (चिन्तन) करता रहता है वह मिथ्याचारी (दम्भी) कहा जाता है।|He who, controlling the organs of action, lets his mind dwell on the objects of senses, is a deluded person and a hypocrite.|कर्मेन्द्रियाणि हस्तादीनि संयम्य संहृत्य यः आस्ते तिष्ठति मनसा स्मरन् चिन्तयन् इन्द्रियार्थान् विषयान् विमूढात्मा विमूढान्तःकरणः मिथ्याचारो मृषाचारः पापाचारः सः उच्यते॥ 
"यह 'आत्मा' प्रवचन द्वारा लभ्य नहीं है,|The Self is not to be won by eloquent teaching,|अयम् आत्मा प्रवचनेन न लभ्यः।
न मेधाशक्ति से,|nor by brain power,|न मेधया,
न बहुत शास्त्रों के श्रवण से 'यह' लभ्य है।|nor by much learning.|न बहुधा श्रुतेन।
यह आत्मा जिसका वरण करता है उसी के द्वारा 'यह' लभ्य है,|But only he whom this being chooses can win Him,|एषः यं एव वॄणुते तेन लभ्यः।
उसी के प्रति यह 'आत्मा' अपने कलेवर को अनावृत करता है।|for to him this Self bares His body.|तस्य एषः आत्मा त्वां तनूं विवृणुते॥
एक भिखारी रोज एक दरवाजे पर जाता और भीख के लिए आवाज लगाता और जब घर मालिक बाहर आता तो उसे गंदी गंदी गालिया और ताने देता।|A beggar would go to a door every day and call for alms, and when the owner of the house came out, he would abuse and taunt him.|एकः भिक्षुकः प्रतिदिनं द्वारं गत्वा भिक्षाटनार्थं उद्घोषयति स्म तथा च यदा गृहस्वामी बहिः आगच्छति स्म, तदा स तस्मिन् अश्लीलशब्दानां वृष्टि: कुर्वन् तस्योपहासं करोति स्म।
मर जाओ। काम क्यूं नही करतें? जीवन भर भीख मांगतें रहोगे?|Die. Why don't you work? Will you keep begging for the rest of your life?|मृतो भव। किञ्चित् कार्यं किमर्थं न करोषि?आजीवनं भिक्षायाचनं करिष्यसि?
कभी कभी गुस्सें में उसे धकेल भी देता, पर भिखारी बस इतना ही कहता - "ईश्वर तुम्हारें पापों को क्षमा करें।"|Sometimes he would even push him away in anger, but the beggar would just say - "May God forgive your sins."|कदाचित् क्रोधितो भूत्वा स तं धक्कयति स्म, किन्तु भिक्षुकः केवलमेतदेव वदति स्म - "ईश्वर: तव कुकर्माणि क्षंसीष्ट।"
एक दिन सेठ बड़े गुस्सें में था।|One day Seth was very angry.|एकदा श्रेष्ठी अतीव क्रुद्ध: आसीत्।
शायद व्यापार में घाटा हुआ था।|Perhaps business loss may occur.|कदाचित् व्यापारे हानिः अभवत्।
वह भिखारी उसी वक्त भीख मांगने आ गया।|That beggar came to beg at that very moment.|सः भिक्षुकः तस्मिन् एव क्षणे याचनाय आगतः।
सेठ ने आव देखा ना ताव और सीधा उसे पत्थर से दे मारा।|Seth saw him coming and directly hit him with a stone.|श्रेष्ठी अविचार्यैव साक्षात् तं प्रस्तरेण प्रहृतवान्।
भिखारी के सर से खून बहने लगा।|Bleeding started flowing from the beggar's head.|भिक्षुकस्य शिरसा रक्तस्रावं प्रारब्धम्।
फिर भी उसने सेठ से कहा- "ईश्वर तुम्हारें पापों को क्षमा करें" और यह कहकर वहां से चल दिया।|Still he said to Seth - "May God forgive your sins" and saying this he left from there.|तथापि स श्रेष्ठिनम् उक्तवान् - "ईश्वरः तव कुकर्माणि क्षंसीष्ट" इति वदन् ततः प्रस्थितवान्।
सेठ का थोड़ा गुस्सा कम हुआ तो वह सोचने लगा मैंने उसे पत्थर से भी मारा पर उसने दुआ ही दी।|When Seth's anger subsided a little, he started thinking that I even hit him with a stone but he only prayed.|श्रेष्ठिन: क्रोधः किञ्चित् शान्तः अभवत्, अतः सः चिन्तयितुं आरब्धवान् यत् अहम् अपि तं शिलया प्रहृतवान्, परन्तु सः केवलं मम कृते प्रार्थनामेव कृतवान्।
इसके पीछे क्या रहस्य है? अवश्य ही जानने का प्रयास करना चाहिए।|What is the secret behind this? Must try to know.|अस्य पृष्ठतः किं रहस्यम्? अवश्यं ज्ञातुं प्रयत्नः करणीयः।
यह सोचकर उस भिखारी के पीछे-पीछे चलने लगा।|Thinking this he started following the beggar.|इति विचिन्त्य सः भिक्षुकस्य अनुसरणं कर्तुमारभत।
भिखारी जहाँ भी जाता सेठ उसके पीछे-पीछे जाता।|Wherever the beggar went, Seth followed him.|यत्र यत्र भिक्षुकः गच्छति स्म तत्र-तत्र श्रेष्ठी तस्यानुसरणं करोति स्म।
कही कोई उस भिखारी को कोई भीख दे देता तो कोई उसे मारता, जलिल करता, गालियाँ देता, पर भिखारी इतना ही कहता, "ईश्वर तुम्हारे पापों को क्षमा करें।"|Sometimes someone would give alms to that beggar, someone would beat him, humiliate him, abuse him, but the beggar would only say, "May God forgive your sins."|कुत्रचित् कश्चित् तस्मै भिक्षुकाय काञ्चित् भिक्षां ददाति स्म, कुत्रचित् कश्चित् तं ताडयति स्म, अपमानयति स्म, अपशब्दं वदति स्म, परन्तु भिक्षुकः केवलं "ईश्वरः भवतः पापान् क्षंसीष्ट" इति वदति स्म।
अब अंधेरा हो चला था।|Now it was getting dark.|इदानीं अन्धकारः शनै:-शनै: वर्धते स्म। 
भिखारी अपने घर लौट रहा था।|The beggar was returning to his home.|भिक्षुकः स्वगृहं प्रति गच्छति स्म।
सेठ भी उसके पीछे था।|Seth was also behind him.|श्रेष्ठी अपि तस्य पृष्ठत:-पृष्ठत: गच्छति स्म।
भिखारी जैसे ही अपने घर लौटा तो एक टूटी फूटी खाट पर जाकर लेट गया।|As soon as the beggar returned to his home, he lay down on a broken cot.|यथैव भिक्षुकः स्वगृहं प्रत्यागत:, तथैव स भग्नखट्वां प्रति गत्वा शयनं कृतवान्।
उसी पर एक बुढ़िया सोई हुई थी जो भिखारी की पत्नी थी।|There was an old woman sleeping on it who was the beggar's wife.|तत्रैव एकः वृद्धा सुप्तवती आसीत् या भिक्षुकस्य पत्नी आसीत्।
जैसे ही उसने अपने पति को देखा तो उठ खड़ी हुई और भीख का कटोरा देखने लगी।|As soon as she saw her husband, she stood up and started looking at the begging bowl.|पतिं पश्यन्ती एव सा उत्थाय भिक्षाकटोरम् अवलोकयितुमरब्ध। 
उस भीख के कटोरे मे मात्र एक आधी बासी रोटी थी।|There was only a half stale loaf of bread in that begging bowl.|तस्मिन् भिक्षाकटोरे एका एव अर्धपर्युषिता रोटिका आसीत्।
उसे देखते ही बुढिया बोली-"बस इतना ही। और कुछ नही। और ये आपका सर कैसे फूट गया?|As soon as she saw him, the old lady said, "That's all. Nothing else. And how did your head get broken?"|तत् दृष्ट्वैव वृद्धा उक्तवती - "केवलम् एतावदेव!अन्यत् किमपि न! भवतः शिरः च कथं भग्नम्?
भिखारी बोला- हाँ, बस इतना ही ।किसी ने कुछ नही दिया ।सबने गालिया दी, पत्थर मारें, इसलिए ये सर फूट गया।|The beggar said - Yes, that's all. No one gave anything. Everyone abused and threw stones, that's why this head burst.|भिक्षुक: अवदत् - "आम्! केवलम् एतावदेव। कश्चनापि किमपि न दत्तवान्। सर्वे अपशब्दान् कथयितवन्त:, प्रस्तरै: प्रहृतवन्त:, अत: एतत् शिर: भग्नम्।"
भिखारी ने फिर कहा- "सब अपने ही पापों का परिणाम हैं।याद है ना तुम्हें? कुछ वर्षो पहले मैं कितना रईस हुआ करते था। क्या नही था मेरे पास?पर मैंने कभी दान नही किया। याद है तुम्हें वो अंधा भिखारी।"|The beggar again said - "All this is the result of one's own sins. Do you remember? How rich I used to be a few years ago. What did I not have? But I never donated. Do you remember that blind beggar?"|भिक्षुकः पुनः उक्तवान्- "एष सर्व: स्वपापानामेव परिणामोऽस्ति। किं त्वया स्मृतम्? अहं कतिपयवर्षेभ्यः पूर्वं कियान् धनिकः आसीत्। मम किं नासीत्? परन्तु अहं कदापि दानं न कृतवान्। किं त्वया स्मृतमस्ति - सः अन्धो भिक्षुक:।"
बुढिया की आँखों में ऑसू आ गये और उसने कहा- हाँ।कैसे हम उस अंधे भिखारी का मजाक उड़ाते थे, कैसे उसे रोटियों की जगह खाली कागज रख देते थे, कैसे हम उसे जलिल करते थे, कैसे हम उसे कभी कभी मार या धकेल देते थे।"|Tears welled up in the eyes of the old lady and she said - Yes. How we used to make fun of that blind beggar, how we used to give him blank papers instead of bread, how we used to humiliate him, how we used to beat or push him sometimes."|वृद्धायाः नेत्राभ्याम् अश्रुपातः अभवत्, सा च अवदत् - "कथम् आवां तस्य अन्धभिक्षुकस्य उपहासं कुर्व: स्म, कथं आवां तस्मै रोटिकाया: स्थाने रिक्तकागदं ददाव: स्म, कथं वयं तम् अपमानितम् अकुर्वन्ताम्, कथं वयं तं ताडयाव: स्म वा उपतंसयाव: स्म वा।" 
अब बुढिया ने कहा - हाँ !सब याद है मुझे। कैसे मैंने भी उसे राह नही दिखाई और घर के बनें नालें में गिरा दिया था।जब भी वहाँ रोटिया मांगता मैंने बस उसे गालियाँ ही देता था। एक बार तो उसका कटोरा तक फेंक दिया।|Now the old lady said - Yes! I remember everything. How I too did not show him the way and made him fall into the drain of the house. Whenever he asked for roti there, I used to just abuse him. Once he even threw away his bowl.|इदानीं सा वृद्धा अवदत्- "आम्! सर्वं स्मरामि। कथं अहम् अपि तस्मै मार्गं न दर्शयित्वा गृहे निर्मितेषु नालिकेषु तं पातितवती। यदा यदा स तत्र रोटिकां याचितवान् तदा अहं केवलं तम् अपशब्दं वदामि स्म। एकदा अहं तस्य भिक्षापात्रमपि क्षिप्तवती।"
और वो अंधा भिखारी हमेशा कहता था, तुम्हारे पापों का हिसाब ईश्वर जरूर ही करेंगे। परन्तु आज उस भिखारी की बद्दुआ और हाय हमें ले डूबी।|And that blind beggar always used to say, God will definitely take account of your sins. But today the curse and reproach of that beggar drowned us.| सः च अन्धः भिक्षुकः सर्वदा वदति स्म, "ईश्वरः भवत्या: पापानां गणनां अवश्यमेव करिष्यति। परन्तु अद्य तस्य भिक्षुकस्य अपवादः धिक्कारः च आवां मज्जितवन्तौ।
फिर भिखारी ने कहा -"पर मैं किसी को बद्दुआ नही देता,चाहे मेरे साथ कितनी भी ज्यादती क्यूं ना हो जाए, मेरे लब पर हमेशा दुआ रहती हैं, मैं अब नही चाहता कि कोई और इतने बुरे दिन देखे, मेरे साथ अन्याय करने वालों को भी मैं दुआ देता हूं, क्योंकि उनको मालूम ही नही हैं कि वे  क्या पाप कर रहे हैं, जो सीधा ईश्वर देख रहा हैं, जैसी हमने भुगती है, कोई और ना भुगते, इसलिए मेरे दिल से बस अपना हाल देख दुआ ही निकलती हैं।"|Then the beggar said - "But I don't curse anyone, no matter how much injustice happens to me, I always have blessings on my lips, I don't want anyone else to see such bad days, those who wronged me. I also pray to those people, because they do not know what sins they are committing, which is directly seen by God, no one else should suffer the way we have, hence only prayers come out of my heart after seeing my condition."|पुन: भिक्षुक: अवदत् -"तथापि अहं कस्मैचित् शापं न ददामि, कामं मया सह कियानपि अत्याचार: किमर्थं न भवेत्, मम अधरयो: सदैव परजनेभ्य: शुभचिन्तनमेव भवति। इदानीम् अहं नेच्छामि यत् अन्यजनेऽपि एतावत् दुष्टदिनं पश्यन्तु, मया सह ये अन्यायं कृतवन्त:, तेभ्योऽपि अहं शुभमङ्गलस्य कामनां करोमि, यतोहि तेषामेव न ज्ञातं यत् ते किम्-किं पापं कुर्वन्ति, यान् प्रत्यक्षत: ईश्वर: अवलोकयति, यथा आवां दुःखं प्राप्नुव तथैव अन्यः कोऽपि दुःखं न प्राप्नुयात्, अतः एव स्वस्थितिं दृष्ट्वा एव मम हृदयात् तेभ्योऽपि आशीर्वादा: एव बहिः आगच्छन्ति।"
सेठ चुपके-चुपके सब सुन रहा था।उसे अब सारी बात समझ में आ गयी थी।बुढ़े और बुढ़िया ने आधी रोटी मिलकर खाया।और, प्रभु की यही महिमा है" बोल कर सो गये।|Seth was listening to everything secretly. Now he had understood the whole thing. The old man and the old woman ate half the bread together. And saying, this is the glory of God, he went to sleep.|श्रेष्ठी मौनेन सर्वं शृणोति स्म। सः इदानीं सर्वं अवगच्छत्। वृद्धः वृद्धा च एकत्र अर्धरोटिकां खादितवन्तौ, "एषः भगवतः महिमा" इति वदन्तौ निद्रां गतौ।
अगले दिन वह भिखारी सेठ के यहां भीख मांगने के लिए गया। सेठ ने पहले से ही रोटियां निकाल कर अलग रख दिया था।उसने भिखारी को रोटियां दी और हल्की से मुस्कान भरे शब्दों में कहा - "माफ करना बाबा ।गलती हो गयी।"|The next day he went to the beggar Seth's house to beg. The Seth had already taken out the rotis and kept them aside. He gave the rotis to the beggar and said with a light smile - "Forgive me Baba. A mistake has been made."|अन्येद्युः सः भिक्षुक: भिक्षायाचनाय श्रेष्ठिनो गृहं गत:। श्रेष्ठी पूर्वमेव रोटिका: निष्कास्य पृथक् स्थापितवान् आसीत्। स भिक्षुकाय रोटिकां दत्तवान् किञ्चित् च स्मितवदनं कृत्वा अवदत् -"क्षम्यतां महोदय!मया त्रुतिरभवत्।"
सेठ को एक बात समझ में आ गयी।इंसान तो बस दुआ-बद्दुआ देता है , परन्तु ईश्वर मनुष्य के पाप और पुण्य का हिसाब समय आने पर जरूर करता है।|The rich man understood one thing. Man just gives prayers, but God does hold man accountable for his sins and virtues in due course.|श्रेष्ठिनः एकं वचनं मस्तिष्के आगत:। मनुष्या: तु आशीर्वादं शापं च ददति, परन्तु ईश्वरः निश्चितरूपेण मनुष्यस्य पापानां पुण्यानाञ्च निर्णयं करोति यदा समयः आगच्छति।

जब जंगल जलते हैं तो वायु अग्नि का मित्र बन जाता है।|When the forests burn, the wind becomes fire's friend.|(यदा) दहतः वनानि ( भवन्ति, तदा) मारुत् वह्नेः सखा भवति।
लेकिन वही वायु जो कि मित्र था, दीपक (लौ) के विनाश का एक कारण बनता है।|(But, the wind, the friend ) (becomes the cause) for the destruction a lamp (flame).|सः एव दीप-नाशाय (कारणम् भवति)।
दुर्बल (व्यक्ति) को किसकी मित्रता उपलब्ध है?|Whose friendship to (in) a weak (person is available)?|कृशे सौहृदम् कस्य अस्ति।
कर्मकाण्डी ब्राह्मण के लिए कुछ आवश्यक नियम।|Some essential rules for a ritualistic Brahmin.|कर्मकाण्डिने ब्राह्मणाय कश्चिद् आवश्यकनियमाः।
कृपया जप/पाठ के समय बातचीत न करें।|Please do not talk while chanting/reciting.|कृपया जपकाले/पाठकाले वार्त्तालापं न कुर्यात्।
कृपया जप/पाठ के समय मोबाइल आफ या साइलेंट रखें।|Please keep your mobile off or silent during chanting/recitation.|कृपया जपकाले/पाठकाले दूरवाणीं पिदधातु मौनीकरोतु वा।
कृपया स्वच्छ वस्त्र धारण करें।|Please wear clean clothes.|कृपया स्वच्छवस्त्रस्य धारणं कुर्यात्।
कृपया अनुष्ठान में कटे फटे, पुराने , जले  वस्त्र न धारण करें।अनुष्ठान अनुरूप ही वस्त्र धारण करें।|Please do not wear torn, old or burnt clothes during the ritual. Wear clothes as per the ritual.|कृपया अनुष्ठाने जीर्णं पुरातनं ज्वलितं वा वस्त्रधारणं न कुर्यात्। अनुष्ठानानुरूपमेव वस्त्रधारणं कुर्यात्।
भगवत् नाम लिखे हुए या भगवान के चित्र बने हुए वस्त्र आदि को धारण न करे। यह देव अपराध है।अंगोछा या अंगरखा के रूप में भी उपयोग नहीं करना चाहिए।|Do not wear clothes etc. with the name of God written on them or with God's picture on them. This is a crime against God. It should not be used even as a towel or tunic.|भगवन्नाम लिखितम् उत भगवच्चित्रियुतं वस्त्रं न धारयेत्। एष देवापराधोऽस्ति। उपवस्त्रस्य अंगवस्त्रिकाया: वा रूपेणापि एतद् न धारयेत्।
एक दिन पहले धारण किए हुए वस्त्र अगले दिन न धारण करें।यदि पहनना भी पड़े, तो धोकर ही पहनना चाहिए।|Do not wear clothes worn the day before the next day. Even if you have to wear them, they should be worn only after washing.|एकस्माद्दिनात् पूर्वं धारितवस्त्राणि परेद्युः न धारयेत्। यदि धारणम् अत्यावश्यकं तर्हि प्रक्षाल्य हि।
पूजा के समय वस्त्र पीला या उजला जो अन्य व्यक्ति को अच्छे लगें वैसा पहनना चाहिए।अनुष्ठान में सिले हुए वस्त्र आदि धारण करने से बचना चाहिए।|At the time of puja, one should wear yellow or white clothes which are acceptable to other people. One should avoid wearing stitched clothes etc. during rituals.|पूजायाः समये पीतवस्त्रम् अथवा श्वेतवस्त्रं धरेत् यद् अन्येभ्यः रोचते। अनुष्ठानेषु सः स्यूतवस्त्रादिकं न धरेत्।
धोती को धोती की तरह ही धारण कर ब्राह्मण एवं यजमान को पूजन अनुष्ठान करना चाहिए ।कच्छ होना अत्यावश्यक है। लुंगी की तरह लपेटकर पूजन न करें।|The Brahmin and the host should perform the puja rituals by wearing the dhoti like a dhoti. It is essential to have a kachcha. Do not perform the puja by wrapping it like a lungi.|ब्राह्मणः तथा यजमानः धौतवस्त्रं तदनुसारमेव परिधीय पूजानुष्ठानादि कुर्याताम्। चित्रवेष्टिरिव(लुंगी इति वस्त्रमिव) परिधीय नैव कदाचित्। कटिवस्त्रम् अत्यावश्यकमस्ति।
ललाट तिलक रहित न हो। शिखा अवश्य होना चाहिए।बिना सन्ध्योपासना और गायत्री मंत्र जप किए अनुष्ठान में सम्मिलित न हों।भोजन सात्विक होना चाहिए और संभव हो तो भोजन अपने घर का बनाया हुआ होना चाहिए।भोजन में भक्ष्य अभक्ष्य का ध्यान अवश्य रखना चाहिए।|The forehead should not be without tilak. Shikha must be there. Do not participate in the rituals without Sandhyopasana and chanting Gayatri Mantra. Food should be sattvik and if possible, food should be home-made. Attention must be paid to what is edible and non-edible.|ललाटे तिलकं तथा मस्तके शिखा अवश्यं भवेत्। सन्ध्योपसनामंत्रस्य गायत्रीमंत्रस्य जापं विना अनुष्ठाने सम्मिलितः न भवेत्। भोजनं सात्विकं भवेत् तथा यथासंभवं स्वगृहे निर्मितं भवेत्। भोजने भक्ष्याभक्ष्यस्य ध्यानम् अवश्यं कुर्यात्।
राजत्व और बुद्धिमत्ता कभी भी एक ही श्रेणी के नहीं होते।|Kingship and Scholarship (are) never of the same class.|नृपत्वम् च विद्वत्त्वम् च तुल्यम् न एव कदाचन (सन्ति)।
राजा का सम्मान (केवल) उसके राज्य में होता है।|King is respected (only) in his kingdom|राजा स्व-देशे (एव) पूज्यते।
(किन्तु) विद्वान का सम्मान हर स्थान पर होता है।|(but) Scholar is honoured everywhere|विद्वान् (तु) सर्वत्र पूज्यते।
वह तैरती रहती है।|She keeps swimming.|सा तरन्ती भवति।
वह खड़ा रहता है।|He remains standing.|स: तिष्ठन् भवति।
मैं उसकी प्रतीक्षा करत रहा।|I kept waiting for him.|अहं तं प्रतीक्षमाण: अभवम्।
मैं घर की निगरानी करता रहा।|I kept monitoring the house.|अहं गृहम् अवेक्षमाण: अभवम्।
वे लोग देखते रहे।|They kept watching.|ते पश्यन्त: अभवन्।
वह सुनती रही।|She kept listening.|सा शृण्वन्ती अभवत्।
मैं सुनता जाता हूं।|I keep listening.|अहं शृण्वन् भवामि।
वह बोलता जाता है।|He continues speaking.|स: वदन् भवति।
वह बोलता गया।|He continued speaking.|स: वदन् अभवत्।
वह गाती रही।|She continued singing.|सा गायन्ती अभवन्।
वह गाती रहती है।|She keeps singing.|सा गायन्ती भवति।
वह हंसता रहा।|He kept laughing.|स: हसन् अभवत्।
वह हंसता रहता है।|He keeps laughing.|स: हसन् भवति।
टेस्ट मैच कल आरंभ होगा।|The cricket test match will start tomorrow.|पंचदिवसीया वल्लकन्दुकक्रीडास्पर्धा श्वः आरम्भः भविता।
मतदान कल आरंभ होगा।|Voting will start tomorrow.|मतदानं श्व आरम्भः भविता।
मैं अगले सोमवार को घर जाऊँगा।|I will go home next monday.|अहम् आगामिसोमवासरे गृहं गन्तास्मि।
तुम अगले साल एक घर खरीदोगे।|You will buy a house next year.|त्वम् आगामिवर्षे एकं गृहं क्रेतासि।
राम और श्याम कल मुम्बई के लिए प्रस्थान करेंगे।|Rama and Shyama will depart for Mumbai tomorrow.|रामश्यामौ/रामः श्यामश्च श्वः मुम्बय्यीनगरं गन्तुं प्रस्थानं कर्तारौ।
हम दोनों अगले सप्ताह माँ से मिलेंगे।|The both of us will meet Mother next week.|आवाम् आगामिसप्ताहे मातरं   मिलितास्वः/मेलनं कर्तास्वः/अध्यागमितास्वः।
तुम दोनों मिलकर अगले वर्ष एक गाड़ी खरीदोगे।|The both of you will purchase a car next year.|युवां परस्परं मिलित्वा एकं शकटं क्रेतास्थः।
मोहन और शीतला अगले साल आपस मे शादी करेंगे।|Mohan and Sheetala will marry each other next year.|मोहनः शीतला च आगामिवर्षे परस्परं परिणयितारौ।
घर के सभी लोग पर्यटन करने के लिए अगले सप्ताह काठमांडु जायेंगे।|Everyone at home will go to Kathmandu for tourism next week.|गृहे सर्वे जनाः पर्यटनाय आगामिसप्ताहे काष्ठमाण्डुनगरं गन्तारः।
हमलोग कल पहाड़ पर पैदल चलकर वैष्णोदेवी पहूँचेंगे।|We will reach Vashno Devi temple tomorrow by walking on the mountain.|वयं श्वः पर्वते पादगमनं कृत्वा वैष्णोदेवीस्थलं प्राप्तास्मः।
वर्तमान में जो कुछ है, अतीत में जो कुछ था और भविष्य में जो होनेवाला है — यह सब केवल अनन्त पुरुष ही है।That Purusha is indeed all this, that which has been and that which will be.|इदं सर्वं यद् भूतं यद् भव्यं च पुरुषः एव।
वह अमरता और उस (नश्वर जीवन) का भगवान है, जो भोजन के माध्यम से बढ़ता है।|He is the Lord of immortality and of that (mortal life), which grows by means of food.|यद् अन्नेन अतिरोहति सः अमृतत्वस्य ईशानः उत।
