Hindi|Sanskrit|English
कश्मीर एक सुन्दर जगह है।|Kashmir is a memorable place|काश्मीरः एकः रमणीयस्थलः अस्ति।
मेरे कालेज में प्रोफेसर का एक जगह खाली है।|There professor's post that needs to be filled in my college.|मम विद्यालये प्राध्यापकस्य कृते एकं पदं रिक्तमस्ति।
यदि मैं तेरी जगह होता!|If I were you|यदि अहं तव स्थाने अभविष्यम्।
अब सुधार की कोई जगह नहीं।|Now there is no chance of fixing|अधुना शोधनस्य कृते कापि आशा नास्ति।
पूछताछ काउंटर = मालभाड़ा तौल के हिसाब से लिया जाता है।|Enquiry counter = Freight is charged according to weight.|परिपृच्छपटलम् = वस्तूनां भाटकं तुलया स्वीक्रीयते।
रेखा = Bandra Express किस नम्बर के प्लेटफॉर्म पर आयेगी?|Rekha = On which platform number will Bandra Express arrive?|रेखा = Bandra Express इति रेलयानं केन मञ्चेन  आगमिष्यति?
पूछताछ काउंटर = गाड़ियों के आगमन और प्रस्थान सूचना बोर्ड पर लिखा हुआ है। यह टिकट घर के नजदीक है। आप वहां जाकर अच्छी तरह से देख सकती है।|Enquiry Counter = Written on the arrival and departure information board of trains. This ticket is close to home. You can go there and take a good look.|परिपृच्छपटलम् = रेलयानानां गमनागमनस्य समयतालिका: सूचनापट्टे लिखिता: सन्ति। एषा चिटिकापटलं निकषा अस्ति। भवती तत्र गत्वा सम्यक्तया अवलोकयितुं शक्नोति।
पूछताछ काउंटर =  आप अपने मोबाइल में Where is my Train ऐप डाउनलोड कर लीजिए।जो कुछ भी ट्रेन के आगमनप्रस्थान, विलम्ब इत्यादि  के बारे में जानकारी प्राप्त करना चाहते हैं, इस ऐप के माध्यम से मिल सकता है।|Enquiry Counter = Download the Where is my Train app in your mobile. Whatever information you want to get about the train's arrival, departure, delay etc., can be found through this app.|परिपृच्छपटलम् = भवती स्वचलभाषे Where is my Train इति तन्त्रांशम् अवाहरतु। यदि भवती रेलयानानां गमनागमनं, विलम्बः, समयतालिका च इत्यादीनां विषये यत्किमपि ज्ञातुमिच्छति तर्हि एतेन तन्त्रांशमाध्यमेन सर्वाः अपि सूचनाः आप्तुं शक्नोति।
रेखा = धन्यवाद।|Rekha - Thank you.|रेखा = धन्यवाद:
हरा रंग कुछ न कुछ कहता है। कुछ फीका और कुछ गहरा होता है। गुलाल का रंग मुझे मालूम नही, पर रिश्तों का रंग हमेशा गहरा होता है।|Green color says something or the other. Some are pale and some are deep. I don't know the color of gulal, but the color of relationships is always deep.|हरितवर्णो यत्तद्वा किमपि कथयति। कश्चन कपिशवर्णीय: कश्चन च गभीरवर्णीयो भवति। गुलालस्य वर्णो मया न ज्ञात:, परन्तु सम्बन्धीनां वर्ण: सर्वदा गभीरो भवति।
कपूर का तेल बालों में लगाने से बाल जल्दी बढ़ने लगते हैं,मजबूत होते हैं और झड़ना भी रुक जाते हैं।इसके लिए कपूर का तेल दही में मिलाकर बालों की जड़ों में लगाएं आधे से एक घंटे बाद बाल धो लें।|By applying camphor oil on the hair, the hair starts growing faster, becomes stronger and hair fall also stops. For this, mix camphor oil in curd and apply it on the roots of the hair and wash the hair after half an hour.|केशेषु कर्पूरतैलस्य प्रयोगेन केशा: तीव्रगत्या वर्धन्ते, दृढा: भवन्ति केशपतनं च अवरुद्धं भवति। अस्य कृते कर्पूरतैलस्य दध्ना सह मिश्रणं कृत्वा केशमूलेषु लेपयित्वा अर्धघण्टानन्तरम् घण्टैकानन्तरं वा केशान् प्रक्षालयेत्।
हमे साबुन से नहाना, नाखुनों को काटना, साफ और इस्त्री किये हुए कपड़े आदि कार्य रोज करना चाहिये।|We should do things like bathing with soap, cutting nails, cleaning and ironing clothes etc. daily.|फेनिलेन स्नानं, नखकर्तनं, वस्त्रशोधनं, स्त्रीकरणं च इत्यादीनि कार्याणि अस्माभिः नित्यं कर्त्तव्यानि।
अपने भविष्य को चमकदार और स्वस्थ बनाने के लिये हमें हमेशा खुद का और अपने आसपास के पर्यावरण का ख्याल रखना चाहिये।|To make our future bright and healthy, we should always take care of ourselves and the environment around us.|अस्माकं भविष्यम् उज्ज्वलं स्वस्थं च कर्तुम् अस्माभिः सर्वदा स्वकीयस्य स्वकीयञ्च परितः पर्यावरणस्य ध्यानं कर्त्तव्यम्।
हिंदू मान्यताओं के अनुसार यहां का नाम इस घाटी में देवी पार्वती के कान की बाली खो जाने से संबंधित है।|According to Hindu beliefs, the name of this place is related to the earring of Goddess Parvati being lost in this valley.|हिन्दु-मान्यतानुसारम् अस्य स्थानस्य नाम पार्वती-देव्याः कर्णकुण्डलस्य अस्याम् उपत्यकायां विलुप्ततया सम्बद्धमस्ति।
भगवान शिव और देवी पार्वती इस स्थान की सुंदरता पर मोहित हो गए और उन्होंने 1100 सालों तक यहां रह कर तपस्या की थी।|Lord Shiva and Goddess Parvati were fascinated by the beauty of this place and stayed here for 1100 years and performed penance.|भगवान् शिवः पार्वती च अस्य स्थानस्य सौन्दर्येण मुग्धौ भूत्वा एकादशशतवर्षाणि यावत् अत्र स्थित्वा तपं कृतवन्तौ बभूवतु:।
मां पार्वती जब नहा रही थी तब उनके कानों की बाली में से एक मणि पानी में जा गिरी।|When Mother Parvati was bathing, one of the gems in her earring fell into the water.|स्नान्तया: पार्वती-मातु: कर्णकुण्डलयो: एकतरं कुण्डलरत्नं जले पतितं बभूव।
भगवान शिव ने अपने गणों से मणि ढूंढने को कहा लेकिन वह नहीं मिली।|Lord Shiva asked his followers to search for the gem but it was not found.|शिव-भगवान् स्वानुयायिन: कुण्डलरत्नमन्वेष्टुमादिदेश किन्तु तत् न लब्धम् बभूव।
इससे भगवान शिव नाराज हो गए और उन्होंने अपना तीसरा नेत्र खोल दिया जिससे माता नैनादेवी नामक शक्ति उत्पन्न हुई।|This angered Lord Shiva and he opened his third eye from which a power named Mata Naina Devi was born.|एतेन भगवान् शिवः क्रुद्धो बभूव स च स्वतृतीयनेत्रं उद्घाटयाञ्चकार यस्मात् माता नैनादेवी इति शक्तिः जज्ञे।
माता नैना देवी ने भगवान शिव को बताया कि उनकी मणि पाताल में शेषनाग के पास है।|Mother Naina Devi told Lord Shiva that her gem was with Sheshnag in the underworld.|माता नैनादेवी भगवन्तं शिवं बोधयाञ्चकार यत् तस्याः कुण्डलरत्नं पाताललोके शेषनागस्य पार्श्वे अस्ति।
देवताओं द्वारा प्रार्थना करने पर शेषनाग ने मणि वापस कर दी लेकिन वह इतने नाराज हुए कि उन्होंने जोर की फुंकार भरी जिससे इस जगह पर गर्म जल की धारा फूट पड़ी।|When the gods prayed, Sheshnag returned the gem but he was so angry that he hissed loudly due to which a stream of hot water gushed out at this place.|यदा देवाः प्रार्थनां चक्रु: तदा शेषनागः कुण्डलरत्नं प्रददौ किन्तु स एतावत् क्रुद्धो बभूव यत् सः उच्चैः फूत्कृतवान् बभूव यस्मात् कारणात् अस्मिन् स्थाने उष्णजलस्य धारा निर्गतवती बभूव। 
तभी से इस जगह का नाम मणिकर्ण पड़ गया और इसी गर्म पानी में चावल दाल और चना को डूबाने पर पक जाता है।|Since then this place was named Manikarna and rice gets cooked by immersing lentils and gram in this hot water.|ततः परमस्य स्थानस्य नाम मणिकर्णो बभूव अस्मिन्नेव च उष्णजले निमज्जिता: तण्डुल: द्विदलं चणक: च पच्यन्ते।
